Purchased Date,School Year Purchased,Agency Name,LEAID,Technology,Purchase Description,Total Cost,Notes,Comment
9/21/20,2020-2021,Kirbyville CISD,4825710,Social Sentinel,Social Sentinel 9/1/2020-8/21/2021 Annual Subscription,"$2,775 ",,
9/21/20,2020-2021,Kirbyville CISD,4825710,Go Guardian,GoGuardian 1 Suite 1 year License for 1500 licenses,"$12,630 ",,
9/25/19,2019-2020,Krum ISD,4825980,Securly,SECURLY CHROMETOOLS,"$4,003.50 ",,
6/3/15,2014-2015,Lake Dallas ISD,4826430,Gaggle,Gaggle Safety Management for Google,"$10,500 ",,
6/3/15,2014-2015,Lake Dallas ISD,4826430,Gaggle,Gaggle Safety Management for Google,"$10,500 ",,
9/3/15,2015-2016,Lake Dallas ISD,4826430,Go Guardian,3538808 - Go Guardian License,$104.09 ,,
9/3/15,2015-2016,Lake Dallas ISD,4826430,Go Guardian,3538808 - Go Guardian License,$104.09 ,,
5/5/16,2015-2016,Lake Dallas ISD,4826430,Gaggle,12 Month Renewal - Gaggle Safety Management for Google - Students,"$14,175 ",,
11/10/16,2016-2017,Lake Dallas ISD,4826430,Go Guardian,4159129 - Go Guardian License,$21.74 ,,
5/17/18,2017-2018,Lake Dallas ISD,4826430,Gaggle,Gaggle Renewal 12 months,"$15,413 ",,
6/4/20,2019-2020,Lake Dallas ISD,4826430,Gaggle,Gaggle Safety Management for Google - Student (Drive + Email) - Term 7/1/20 -,"$16,268.75 ",,
6/4/20,2019-2020,Lake Dallas ISD,4826430,Gaggle,Gaggle Safety Management for Google - Student (Drive + Email) - Term 7/1/20 -,"$16,268.75 ",,
1/14/19,2018-2019,Lake Worth ISD,4826490,Social Sentinel,SOCIAL SENTINEL AGREEMENT WITH REGION 6 WHO IS WORKING IN PARTNERSHIP WITH REGION 6 ESC,"$5,041.50 ",,
5/12/18,2017-2018,Lamar Consolidated Independent School District,4826580,Social Sentinel,"SOCIAL SENTINEL INITIAL SERVICE INCLUDES INITIAL SERVICE FEE AND INITIAL DATA FEE. APRIL 1, 2018 - AUGUST 31, 2018 PRICE PER CONTRACT: US COMMUNINTIES 4400006644","$12,832 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) The District has used this technology for several years. It has only ever been used for public social media monitoring to prevent potential threats to campuses and self-harm.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Lamar CISD still uses this technology. It is useful in identifying potential threats to our campuses and facilities and in helping identify individuals who may be threatening harm to themselves or others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? Social Sentinel monitors public social media accounts by geographical area and accounts associated with our campuses. Any individual (student, staff, parent or community member) who publicly makes threatening statements and is associated with the District (geographical area, tagged the District, etc.) may be reported.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Lamar CISD utilizes SchoolMessenger SafeMail Human Monitoring System (HMS) to filter and monitor students’ District-supplied email accounts. In addition to filtering, HMS identifies student emails that may contain student emergencies such as mentions of suicide, violence, sexuality and conflict.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? The District’s use of Social Sentinel has been promoted through print and digital newsletters and safety overview videos posted on the District’s website and social media accounts. There is no “opt out” process, as Social Sentinel only uses publicly available data.
What policies did/do you have in place specifically governing the use of this technology by District officials? The District does not have policies in place to specifically govern the use of Social Sentinel, however, Lamar CISD does have general policies for the Board, students and staff on acceptable technology use and internet safety.
Who all has/had access to reports/alerts generated by this technology? The Lamar CISD Police Department, the District’s Director of Student Services and the Director of Community Relations.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Yes, there have been multiple instances where Social Sentinel has identified threats of self-harm from students and our Student Services staff have intervened.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? No, the District has only used this technology to prevent acts of violence or self-harm.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. To date, no Lamar CISD student has been disciplined as a result of reports from Social Sentinel."" -Lindsey Sayers, Community Relations Director"
10/15/19,2019-2020,Lamar Consolidated Independent School District,4826580,Social Sentinel,"YEAR 3 OF 3 - SOCIAL SENTINEL ANNUAL SERVICE INCLUDES ANNUAL SERVICE FEE AND ANNUAL DATA FEE. SEPTEMBER 1, 2019 - AUGUST 31, 2020 PRICE PER CONTRACT OMNIA 4400006644","$30,800 ",,
4/27/17,2016-2017,Lancaster ISD,4826670,Go Guardian,GO GUARDIAN FOR TEACHER,"$2,873 ",,
10/5/17,2017-2018,Lancaster ISD,4826670,Go Guardian,GO Guardian for Teachers: Classroom management solution License,"$16,250 ",,
9/20/19,2019-2020,Lancaster ISD,4826670,Go Guardian,1500-3499 (GG TCR1Y-001500): Go Guardian for Teachers: Classroom management solution - 1 year license,"$16,500 ",,
3/18/20,2019-2020,LaVernia Independent School District,4826310,Go Guardian,GO GUARDIAN SOFTWARE,"$4,125 ",,
3/18/20,2019-2020,LaVernia Independent School District,4826310,Go Guardian,GO GUARDIAN SOFTWARE FOR TEACHERS,$342 ,,
1/28/21,2020-2021,LaVernia Independent School District,4826310,Go Guardian,Go Guardian Teacher subscrip 1 year subscription-1 license,"$5,057.50 ",,
2/23/21,2020-2021,LaVernia Independent School District,4826310,Go Guardian,Go Guardian Teacher subscrip 1- year 1-499 licenses Chrome OS,$360 ,,
7/15/20,2020-2021,Leadership Prep School,4801420,Go Guardian,GO GUARDIAN FOR TEACHERS 1 YR SUBSCRIPTION LICENSE,"$7,584 ",,
7/15/20,2020-2021,Leadership Prep School,4801420,Go Guardian,GO GUARDIAN FOR ADMINS 1 YEAR SUBSCRIPTION LICENSE,"$7,584 ",,
10/31/18,2018-2019,Lewisville Independent School District,4827300,Social Sentinel,SOCIAL SENTINEL (ONE YEAR TERM),"$78,046.50 ",,"""Social Sentinel was piloted in order to determine the benefit of a software that would filter publicly available social media for any threats of harm to self or others. While in theory this was a positive concept, the use of AI (artificial intelligence) left it up to a system to determine the need for intervention.  At the end of the pilot, it was determined that the best method of support for students and families was direct contact at school, teaching and modeling “see something, say something” and rich community resources to connect students and families to for support when not at school (i.e. tip lines, 24 hour hotlines, mental health resources). In addition, we replaced this software with an app that students utilize as a digital mood meter. The outcome of a student sharing how they are feeling triggers both supportive content by way of a 1–2-minute video on pro-social, healthy coping skills as well as triggering an alert for the counselor to check in with that student and see what level of support is needed. While Lewisville ISD has a rich and well-developed protocol for reactive situations, we also firmly believe in the benefit of teaching prevention skills as a protective factor. That drove our decision to discontinue use of the Social Sentinel software."" -Amanda Brim, Chief Communications Officer"
10/29/18,2018-2019,Liberty Independent School District,4827450,Social Sentinel,SOCIAL SENTINEL CONSORTIUM AGREEMENT FEE WITH LIBERTY ISD FOR THE 2018-2019,"$3,903.50 ",,
11/22/19,2019-2020,Liberty Independent School District,4827450,Social Sentinel,SOCIAL SENTINEL CONSORTIUM AGREEMENT FEE WITH LIBERTY ISD FOR THE 2019-2020,"$3,903.50 ",,
9/22/20,2020-2021,Liberty Independent School District,4827450,Social Sentinel,2020-21 DIGITAL LEARNING SUBSCRIPTION FOR SOCIAL SENTIAL (DISTRICT LICENSE),"$3,903.50 ",,
2/11/21,2020-2021,Liberty Independent School District,4827450,Go Guardian,1/2 Due by 6/7 Go Strapped Training - Guardian,"$1,362.50 ",,
2/11/21,2020-2021,Liberty Independent School District,4827450,Go Guardian,1/2 Due ASAP Go Strapped Training - Guardian,"$1,362.50 ",,
4/21/15,2014-2015,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Microsoft Office 365 - Email. 12 month annual,"$6,912 ",,
7/21/15,2015-2016,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Microsoft Office 365 Email,$205 ,,
5/3/16,2015-2016,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 Email - Students. Pricing Term: 12,"$9,363 ",,
4/24/17,2016-2017,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 Email - Students. Pricing Term: 12,"$9,450 ",,
4/2/18,2017-2018,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 Email - St. Pricing term 07/01/2018 -,"$9,450 ",,
10/30/18,2018-2019,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Social Sentinel,Social Sentinel Consortium 2018 - 2019,"$5,827.50 ",,
5/6/19,2018-2019,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 - Student (Email + OneDrive).,"$14,850 ",,
3/25/20,2019-2020,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 - Student. Valid 4-1-2020 through,$282.90 ,,
5/14/20,2019-2020,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Gaggle,Gaggle Safety Management for Office 365 - Student 2020-07-01 2021-06-30,"$15,977.50 ",,
6/5/20,2019-2020,Little Cypress-Mauriceville Consolidated Independent School District,4827690,Social Sentinel,Invoice # 080459 Socidal Sentinel 19-20--Prorate,"$5,644 ",,
11/16/18,2018-2019,Little Elm ISD,4827720,Gaggle,Students Google Monitoring,"$3,150 ",,
11/16/18,2018-2019,Little Elm ISD,4827720,Gaggle,Students Google Monitoring,"$21,900 ",,
9/3/19,2019-2020,Little Elm ISD,4827720,Gaggle,Gaggle safety management for Gaggle safety management for google drive-students,"$3,250 ",,
9/3/19,2019-2020,Little Elm ISD,4827720,Gaggle,Gaggle safety google students Gaggle safety management for google students,"$21,900 ",,
9/2/20,2020-2021,Little Elm ISD,4827720,Gaggle,Gaggle Safety,"$3,250 ",,
9/2/20,2020-2021,Little Elm ISD,4827720,Gaggle,Gaggle safety google,"$21,900 ",,
9/3/20,2020-2021,Little Elm ISD,4827720,Go Guardian,Go Guardian Suite,"$52,177.50 ",,
3/3/20,2019-2020,Littlefield ISD,4827750,Social Sentinel,SOCIAL SENTINEL SOFTWARE,"$1,821.15 ",,
2/9/21,2020-2021,Littlefield ISD,4827750,Social Sentinel,Social Sentinel Software,"$1,821.15 ",,
10/22/18,2018-2019,Livingston Independent School District,4827780,Social Sentinel,SOCIAL SENTINEL CONSORTIUM,"$4,538.78 ",Mentions Go Guardian on Technology Department page. ,
9/29/20,2020-2021,Livingston Independent School District,4827780,Social Sentinel,SOCIAL SENTINEL DISTRIST,"$7,538.75 ",,
10/21/20,2020-2021,Llano Independent School District,4827810,Go Guardian,Renewal for Go Guardian Studen,"$7,794.65 ",,
4/7/20,2019-2020,Lorena Independent School District,4828200,Securly,SECURLY - 12 MONTHS,"$3,520 ",,
2/9/21,2020-2021,Lorena Independent School District,4828200,Securly,SECURLY RENEWAL - SPLIT,"$2,346.67 ",,
3/6/17,2016-2017,Lumberton ISD,4813530,Gaggle,Email Archiving (Google),"$4,720 ",,"""We’ve used Gaggle it in the past but we’re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can’t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
3/6/17,2016-2017,Lumberton ISD,4813530,Gaggle,Red Condor SPAM Filtering,"$1,180 ",,
3/8/17,2016-2017,Lumberton ISD,4813530,Gaggle,IT spam/archiving,"$5,900 ",,
2/13/18,2017-2018,Lumberton ISD,4813530,Gaggle,Archiving Email - Exchange 03/01/18-02/28/19,"$4,920 ",,
2/13/18,2017-2018,Lumberton ISD,4813530,Gaggle,Premium Spam Filtering Service 03/01/18-02/28/19,"$1,230 ",,
2/26/19,2018-2019,Lumberton ISD,4813530,Gaggle,Archiving Email - Exchange Quote #47896,"$4,400 ",,
2/26/19,2018-2019,Lumberton ISD,4813530,Gaggle,Premium Spam Filtering Service Quote #47896,"$1,100 ",,
3/2/20,2019-2020,Lumberton ISD,4813530,Gaggle,Data Dump,"$5,160 ",,
6/16/15,2014-2015,Lyford CISD,4828620,Gaggle,Gaggle Email Services,"$5,015 ",,
10/13/15,2015-2016,Lyford CISD,4828620,Gaggle,Student Email Accounts,$688 ,,
5/31/16,2015-2016,Lyford CISD,4828620,Gaggle,Gaggle Safety,"$10,863 ",,
4/21/17,2016-2017,Lyford CISD,4828620,Securly,Securly Anywhere,"$7,920 ",,
6/28/18,2018-2019,Lyford CISD,4828620,Securly,Payment#2 Securly,"$7,920 ",,
4/22/20,2019-2020,Lyford CISD,4828620,Securly,Securly Anywhere Filter,"$8,241.66 ",,
5/6/20,2019-2020,Lyford CISD,4828620,Securly,Securly Auditor Plus,"$2,762 ",,
10/15/20,2020-2021,Lyford CISD,4828620,Securly,Securly MDM,"$8,694.88 ",,
10/15/20,2020-2021,Lyford CISD,4828620,Securly,Securly MDM,"$8,694.88 ",,
12/19/19,2019-2020,Lytle Independent School District No. 904,4828650,Social Sentinel,SOCIAL SENTINEL COOP,$779.38 ,,
12/19/19,2019-2020,Lytle Independent School District No. 904,4828650,Social Sentinel,SOCIAL SENTINEL COOP,$779.37 ,,
12/19/19,2019-2020,Lytle Independent School District No. 904,4828650,Social Sentinel,SOCIAL SENTINEL COOP,$779.37 ,,
12/19/19,2019-2020,Lytle Independent School District No. 904,4828650,Social Sentinel,SOCIAL SENTINEL COOP,$779.38 ,,
1/6/20,2019-2020,Lytle Independent School District No. 904,4828650,Gaggle,G SUITE SAFETY MANAGEMNET,"$4,800 ",,
8/4/20,2020-2021,Lytle Independent School District No. 904,4828650,Social Sentinel,SOCIAL MEDIA SCANNING SOCIAL SENTINEL,"$3,750.60 ",,
10/9/15,2015-2016,Malakoff Independent School District,4828780,Gaggle,email archiving,"$13,020 ",,
2/22/16,2015-2016,Malakoff Independent School District,4828780,Gaggle,Increase in license,$600 ,,
10/7/16,2016-2017,Malakoff Independent School District,4828780,Gaggle,Drive Archiving - Staff,$900 ,,
10/7/16,2016-2017,Malakoff Independent School District,4828780,Gaggle,Drive Archiving - Stu,"$5,300 ",,
10/7/16,2016-2017,Malakoff Independent School District,4828780,Gaggle,Gaggle Safety Mgmt Stu,"$5,300 ",,
10/7/16,2016-2017,Malakoff Independent School District,4828780,Gaggle,Email Archiving - Staff,"$2,400 ",,
10/7/16,2016-2017,Malakoff Independent School District,4828780,Gaggle,Archiving WRHSE Accts Staff,$500 ,,
9/25/17,2017-2018,Malakoff Independent School District,4828780,Gaggle,Google Drive Students,"$5,540 ",,
9/25/17,2017-2018,Malakoff Independent School District,4828780,Gaggle,Archive Warehouse,$540 ,,
9/25/17,2017-2018,Malakoff Independent School District,4828780,Gaggle,Gaggle Safety Mgmt,"$5,540 ",,
9/25/17,2017-2018,Malakoff Independent School District,4828780,Gaggle,Google Archive Staff,"$2,640 ",,
9/25/17,2017-2018,Malakoff Independent School District,4828780,Gaggle,Google Drive Staff,$990 ,,
10/5/18,2018-2019,Malakoff Independent School District,4828780,Gaggle,Archived Data Backup,"$3,162 ",,
11/28/16,2016-2017,Marble Falls Independent School District,4829010,Go Guardian,GoGuardian for Teachers - Subscription license ( 1 year ) - volume - 1-499,$700 ,,
1/25/18,2017-2018,Marble Falls Independent School District,4829010,Go Guardian,1 GoGuardian for Teachers - Subscription license ( 1 year ) -,$98 ,,
1/26/18,2017-2018,Marble Falls Independent School District,4829010,Go Guardian,1 GoGuardian for Teachers - Subscription license (1 year) - volume,$588 ,,
9/4/18,2018-2019,Marble Falls Independent School District,4829010,Social Sentinel,1 YEAR SOCIAL SENTINEL COMMAND CENTER SOFTWARE SERVICES FOR 7-1-18 TO 6-30-19,"$6,300 ",,
5/28/15,2014-2015,Maypearl ISD,4829580,Gaggle,6/1/15-5/31/15 EMAIL ARCH,"$1,710 ",,
6/8/17,2016-2017,Maypearl ISD,4829580,Gaggle,6/1-5/31/18 EMAIL ARCHIVI,"$2,220 ",,
8/3/17,2017-2018,Maypearl ISD,4829580,Go Guardian,GO GUARDIAN,"$3,824.60 ",,
8/3/17,2017-2018,Maypearl ISD,4829580,Go Guardian,GO GUARDIAN,$817.40 ,,
6/6/18,2017-2018,Maypearl ISD,4829580,Gaggle,ARCHIVING/SAFETY MAN,"$8,938 ",,
10/10/19,2019-2020,Maypearl ISD,4829580,Gaggle,FUEL CROSS COUNTRY,$25 ,,
10/10/19,2019-2020,Maypearl ISD,4829580,Gaggle,Archiving Email & Safety sca,"$7,690 ",,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 QUAD,$233.28 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 ARCHIVE,$102.32 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 PORTABLE,$164.93 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 PRIM CAFE,$432.64 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,Archiving & safety/security,"$8,810 ",,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 HS S WING,"$2,510.48 ",,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,PAYROLL,"$1,512.11 ",,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 PRIMARY,"$1,197.06 ",,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 PRIM PRAC,$63.55 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,SD 09/10-10/08 GOLF FACI,$432.81 ,,
10/9/20,2020-2021,Maypearl ISD,4829580,Gaggle,Safety/security - Teams,"$2,010 ",,
10/1/19,2019-2020,Melissa Independent School District,4830120,Go Guardian,Licensing,$225 ,,
1/15/20,2019-2020,Meyer Park Elementary School,4800262,Securly,https://support.securly.com/hc/en-us/articles/204856588-How-to-disable-Guest-Mode-for-Chromebooks-,"$7,500 ",,
3/27/19,2018-2019,Midland Independent School District,4830570,Go Guardian,Go Guardian for teachers to monitor and guide student activities on computers. - Provide technology to supplement the curriculum to assist in increasing student academic achievement.,"$5,355 ",,"""Midland ISD is in the process of implementing this technology as part of our one-to-one technology initiative. The linked acceptable use agreement governs district policy regarding use of district devices and network."" - Elana Ladd, Chief Communications Officer"
12/13/19,2019-2020,Midland Independent School District,4830570,Go Guardian,Go Guardian License,"$2,685.20 ",,
5/26/20,2019-2020,Mineola Independent School District,4830930,Gaggle,SAFETY SOFTWARE,"$10,650 ",,
8/20/18,2018-2019,Mineral Wells ISD,4830950,Social Sentinel,Social Media Monitoring system for Mineral Wells ISD Invoice #763 Social,"$4,815 ",,"""Social Sentinel identifies signals of potential harm found on public social media posts. Social Sentinel does not access private conversations—it looks at public social media posts for words that might indicate a potential threats against schools or students. We receive an astonishingly low number of alerts from Social Sentinel each year, and no student has ever been disciplined based on a Social Sentinel alert.

Our parents and students are informed via our user agreement that there is no expectation of privacy when using the ISD-owned email address we provide to their students as a service and that if their student wants to have private conversations via email, they should use other services that are not the property of the ISD."" ""The use of a service like Social Sentinel was one of several recommendations from a task force that included parent representatives, school officials, and public safety officials, which was established in the aftermath of a school shooting in Texas with the purpose of to identifying ways to keep our students safer."" - John Kuhn, Superintendent"
7/15/20,2020-2021,Mt. Vernon Independent School District,4831770,Securly,securly web filtering,"$4,900 ",,
11/20/20,2020-2021,Mt. Vernon Independent School District,4831770,Securly,Securly Classroom Management,"$2,350 ",,
6/20/19,2019-2020,Navarro Independent School District,4832160,Go Guardian,GO GUARDIAN,"$11,711.70 ",,
6/25/20,2020-2021,Navarro Independent School District,4832160,Securly,SECURLY CLOUD 360 BUNDLE,"$18,026.25 ",,
2/20/15,2014-2015,Nederland Independent School District,4832280,Gaggle,"INVOICE 29699, ITEM 8009-T, ARCHIVING","$5,200 ",,
1/11/16,2015-2016,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2016 - FEB. 28, 2017,",$60 ,,
1/11/16,2015-2016,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2016 - FEB. 28, 2017,","$5,200 ",,
1/12/17,2016-2017,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2017 - FEB. 28, 2018,","$5,800 ",,
1/12/17,2016-2017,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2017 - FEB. 28, 2018,",$300 ,,
9/21/17,2017-2018,Nederland Independent School District,4832280,Gaggle,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH, SEPT. 2018-2019","$17,188 ",,
1/30/18,2017-2018,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2018 - FEB. 28, 2019,",$480 ,,
1/30/18,2017-2018,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2018 - FEB. 28, 2019,","$6,080 ",,
9/17/18,2018-2019,Nederland Independent School District,4832280,Gaggle,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH, SEPT.","$17,463 ",,
1/28/19,2018-2019,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2019 - FEB. 29,",$300 ,,
1/28/19,2018-2019,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2019 - FEB. 29,","$6,320 ",,
9/3/19,2019-2020,Nederland Independent School District,4832280,Gaggle,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH RENEWAL, SEPT. 2019-2020","$20,900 ",,
2/10/20,2019-2020,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE SERVICE, PRO-RATE BILL, MARCH 2020 - SEPT. 2020,","$3,260 ",,
2/10/20,2019-2020,Nederland Independent School District,4832280,Gaggle,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, PRO-RATE BILL, MARCH 2020 - SEPT. 2020,",$320 ,,
9/17/20,2020-2021,Nederland Independent School District,4832280,Gaggle,"GAGGLE SAFETY MANAGEMENT 12 MONTH RENEWAL, SEPT. 2020-2021","$21,835 ",,
9/17/20,2020-2021,Nederland Independent School District,4832280,Gaggle,"GAGGLE EMAIL ARCHIVE FOR STAFF, ANNUAL RENEWAL","$6,640 ",,
9/17/20,2020-2021,Nederland Independent School District,4832280,Gaggle,ARCHIVE WAREHOUSE FOR STAFF,$720 ,,
11/19/20,2020-2021,Nederland Independent School District,4832280,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE EMAIL PREK STUDENTS,$280 ,,
1/14/21,2020-2021,Nederland Independent School District,4832280,Gaggle,GAGGLE ACCOUNT USAGE UPDATE,"$5,912.50 ",,
6/15/15,2014-2015,New Caney Independent School District,4832400,Go Guardian,"GS License: Go Guardian Chromebook monitoring, management, and anti-theft software. 1 YR Qty 6500+","$24,237 ",,
10/16/20,2020-2021,New Frontiers Charter School,4800061,Securly,securly fliter one year subscription,"$3,135 ",,
9/21/15,2015-2016,Newton Independent School District,4832730,Gaggle,PO Created by Req: 036814,"$2,491 ",,
11/5/15,2015-2016,Newton Independent School District,4832730,Gaggle,PO Created by Req: 037375,$344 ,,
9/22/17,2017-2018,Newton Independent School District,4832730,Gaggle,2017-18 request,"$2,340 ",,
1/23/18,2017-2018,Newton Independent School District,4832730,Gaggle,extragagggle email students,$195 ,,
10/21/15,2015-2016,North Lamar ISD,4833010,Gaggle,View Purchase,"$6,125 ",,
10/17/18,2018-2019,North Lamar ISD,4833010,Gaggle,Monitor student's work,"$8,250 ",,
10/6/20,2020-2021,North Lamar ISD,4833010,Gaggle,safety management for google,"$2,932 ",,
10/6/20,2020-2021,North Lamar ISD,4833010,Securly,Securly License,"$10,410.15 ",,
9/7/17,2017-2018,Northwest Independent School District,4833180,Go Guardian,#4159244 - GO GUARDIAN FOR TEACHERS COMPUTER SOFTWARE,$643 ,,"""Northwest ISD uses GoGuardian for web filtering to protect students from accessing inappropriate websites or materials, in compliance with the federal Children’s Internet Protection Act.

This technology is enabled on all district-owned Chromebooks to ensure a safe online environment exists in the educational setting. As with all technology-related usage in a district setting, its implementation is governed by the Responsible Use Policy. 

For the past six years, Northwest ISD has earned Common Sense District designation for its commitment to digital citizenship and the safety of students online and when using technology."" -Anthony Tosie, Executive Director of Communications"
10/2/18,2018-2019,Northwest Independent School District,4833180,Go Guardian,#4159259 - GO GUARDIAN FOR TEACHERS LICENSE,"$1,741 ",,
9/16/19,2019-2020,NYOS (Not Your Ordinary Schools),4800058,Securly,Securly Anywhere Filter,"$6,171 ",,
3/19/19,2018-2019,Odem-Edroy Independent School District,4833360,Go Guardian,Go Guardian Sub Renewal,"$3,300 ",,
9/16/20,2020-2021,Olney Independent School District,4833630,Go Guardian,GO GUARDIAN SUITE,"$2,283.75 ",,
9/16/20,2020-2021,Olney Independent School District,4833630,Go Guardian,GO GUARDIAN SUITE,"$2,283.75 ",,
9/16/20,2020-2021,Olney Independent School District,4833630,Go Guardian,GO GUARDIAN SUITE,"$2,283.75 ",,
8/6/20,2020-2021,Palacios Independent School District,4834020,Gaggle,GAGGLE EMAIL MONITORING,"$8,971 ",,
1/15/15,2014-2015,Pampa Independent School District,4834170,Gaggle,GAGGLE.NET EMAIL SERVICES - EMAIL ONLY ITEM # 1025 QUOTE # 610280 WILSON,$81 ,,
2/3/15,2014-2015,Pampa Independent School District,4834170,Gaggle,GAGGLE.NET EMAIL SERVICES - EMAIL ONLY ITEM # 1025 QUOTE # 610347,$324 ,,
7/6/15,2015-2016,Pampa Independent School District,4834170,Gaggle,GAGGLE LEARNING MANAGEMENT SYSTEM 12 MONTH ANNUAL ITEM # 1500 QUOTE # 611158 DISTRICT,"$10,448 ",,
10/7/15,2015-2016,Pampa Independent School District,4834170,Gaggle,EMAIL ARCHIVING (EXCHANGE) TERM: 11/1/15 - 10/31/16 DISTRICT,"$5,600 ",,
10/7/15,2015-2016,Pampa Independent School District,4834170,Gaggle,ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE TERM: 11/1/15 - 10/31/16,"$1,760 ",,
7/11/16,2016-2017,Pampa Independent School District,4834170,Gaggle,GAGGLE LEARNING MANAGEMENT SYSTEM ITEM # 1500 7/1/2016 - 6/30/2017 INVOICE # 32460 DISTRICT,"$10,270 ",,
10/21/16,2016-2017,Pampa Independent School District,4834170,Gaggle,ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE) 11/1/2016 - 10/31/2017,"$2,080 ",,
10/21/16,2016-2017,Pampa Independent School District,4834170,Gaggle,EMAIL ARCHIVING (EXCHANGE) 11/1/2016 - 10/31/2017,"$5,600 ",,
6/26/17,2017-2018,Pampa Independent School District,4834170,Gaggle,"GAGGLE PLATFORM - STUDENT LICENSING SERVICE: 7/1/2017 - 6/30/2018 INVOICE # 33889 COMPUTER SOFTWARE < $5,000","$10,981 ",,
9/28/17,2017-2018,Pampa Independent School District,4834170,Gaggle,"ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE) - CONTRACTED/OUTSOURCED SERVICES, ALL OTHERS NOV. 1, 2017 - OCT. 31, 2018","$2,380 ",,
