DistrictName,SchoolYearPurchased,Technology,NumberStudents,PurchasedDate,PurchaseDescription,TotalCost,Notes,Comment
KRUM ISD,2019-2020,Securly,2062,9/25/19,SECURLY CHROMETOOLS,"$4,003.50 ",,
LA VERNIA ISD,2019-2020,Go Guardian,3373,3/18/20,GO GUARDIAN SOFTWARE,"$4,125 ",,
LA VERNIA ISD,2019-2020,Go Guardian,3373,3/18/20,GO GUARDIAN SOFTWARE FOR TEACHERS,$342 ,,
LAKE DALLAS ISD,2015-2016,Gaggle,3979,5/5/16,12 Month Renewal - Gaggle Safety Management for Google - Students,"$14,175 ",,
LAKE DALLAS ISD,2015-2016,Go Guardian,3979,9/3/15,3538808 - Go Guardian License,$104.09 ,,
LAKE DALLAS ISD,2015-2016,Go Guardian,3979,9/3/15,3538808 - Go Guardian License,$104.09 ,,
LAKE DALLAS ISD,2016-2017,Go Guardian,3963,11/10/16,4159129 - Go Guardian License,$21.74 ,,
LAKE DALLAS ISD,2017-2018,Gaggle,3964,5/17/18,Gaggle Renewal 12 months,"$15,413 ",,
LAKE DALLAS ISD,2019-2020,Gaggle,3986,6/4/20,Gaggle Safety Management for Google - Student (Drive + Email) - Term 7/1/20 -,"$16,268.75 ",,
LAKE DALLAS ISD,2019-2020,Gaggle,3986,6/4/20,Gaggle Safety Management for Google - Student (Drive + Email) - Term 7/1/20 -,"$16,268.75 ",,
LAKE WORTH ISD,2018-2019,Social Sentinel,3371,1/14/19,SOCIAL SENTINEL AGREEMENT WITH REGION 6 WHO IS WORKING IN PARTNERSHIP WITH REGION 6 ESC,"$5,041.50 ",,
LAMAR CISD,2017-2018,Social Sentinel,32146,5/12/18,"SOCIAL SENTINEL INITIAL SERVICE INCLUDES INITIAL SERVICE FEE AND INITIAL DATA FEE. APRIL 1, 2018 - AUGUST 31, 2018 PRICE PER CONTRACT: US COMMUNINTIES 4400006644","$12,832 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) The District has used this technology for several years. It has only ever been used for public social media monitoring to prevent potential threats to campuses and self-harm.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Lamar CISD still uses this technology. It is useful in identifying potential threats to our campuses and facilities and in helping identify individuals who may be threatening harm to themselves or others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? Social Sentinel monitors public social media accounts by geographical area and accounts associated with our campuses. Any individual (student, staff, parent or community member) who publicly makes threatening statements and is associated with the District (geographical area, tagged the District, etc.) may be reported.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Lamar CISD utilizes SchoolMessenger SafeMail Human Monitoring System (HMS) to filter and monitor students‚' District-supplied email accounts. In addition to filtering, HMS identifies student emails that may contain student emergencies such as mentions of suicide, violence, sexuality and conflict.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? The District‚'s use of Social Sentinel has been promoted through print and digital newsletters and safety overview videos posted on the District‚'s website and social media accounts. There is no ‚Äúopt out‚Äù process, as Social Sentinel only uses publicly available data.
What policies did/do you have in place specifically governing the use of this technology by District officials? The District does not have policies in place to specifically govern the use of Social Sentinel, however, Lamar CISD does have general policies for the Board, students and staff on acceptable technology use and internet safety.
Who all has/had access to reports/alerts generated by this technology? The Lamar CISD Police Department, the District‚'s Director of Student Services and the Director of Community Relations.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Yes, there have been multiple instances where Social Sentinel has identified threats of self-harm from students and our Student Services staff have intervened.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? No, the District has only used this technology to prevent acts of violence or self-harm.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. To date, no Lamar CISD student has been disciplined as a result of reports from Social Sentinel."" -Lindsey Sayers, Community Relations Director"
LAMAR CISD,2019-2020,Social Sentinel,35156,10/15/19,"YEAR 3 OF 3 - SOCIAL SENTINEL ANNUAL SERVICE INCLUDES ANNUAL SERVICE FEE AND ANNUAL DATA FEE. SEPTEMBER 1, 2019 - AUGUST 31, 2020 PRICE PER CONTRACT OMNIA 4400006644","$30,800 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) The District has used this technology for several years. It has only ever been used for public social media monitoring to prevent potential threats to campuses and self-harm.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Lamar CISD still uses this technology. It is useful in identifying potential threats to our campuses and facilities and in helping identify individuals who may be threatening harm to themselves or others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? Social Sentinel monitors public social media accounts by geographical area and accounts associated with our campuses. Any individual (student, staff, parent or community member) who publicly makes threatening statements and is associated with the District (geographical area, tagged the District, etc.) may be reported.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Lamar CISD utilizes SchoolMessenger SafeMail Human Monitoring System (HMS) to filter and monitor students‚' District-supplied email accounts. In addition to filtering, HMS identifies student emails that may contain student emergencies such as mentions of suicide, violence, sexuality and conflict.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? The District‚'s use of Social Sentinel has been promoted through print and digital newsletters and safety overview videos posted on the District‚'s website and social media accounts. There is no ‚Äúopt out‚Äù process, as Social Sentinel only uses publicly available data.
What policies did/do you have in place specifically governing the use of this technology by District officials? The District does not have policies in place to specifically govern the use of Social Sentinel, however, Lamar CISD does have general policies for the Board, students and staff on acceptable technology use and internet safety.
Who all has/had access to reports/alerts generated by this technology? The Lamar CISD Police Department, the District‚'s Director of Student Services and the Director of Community Relations.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Yes, there have been multiple instances where Social Sentinel has identified threats of self-harm from students and our Student Services staff have intervened.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? No, the District has only used this technology to prevent acts of violence or self-harm.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. To date, no Lamar CISD student has been disciplined as a result of reports from Social Sentinel."" -Lindsey Sayers, Community Relations Director"
LANCASTER ISD,2016-2017,Go Guardian,7640,4/27/17,GO GUARDIAN FOR TEACHER,"$2,873 ",,
LANCASTER ISD,2017-2018,Go Guardian,7371,10/5/17,GO Guardian for Teachers: Classroom management solution License,"$16,250 ",,
LANCASTER ISD,2019-2020,Go Guardian,7474,9/20/19,1500-3499 (GG TCR1Y-001500): Go Guardian for Teachers: Classroom management solution - 1 year license,"$16,500 ",,
LEWISVILLE ISD,2018-2019,Social Sentinel,52218,10/31/18,SOCIAL SENTINEL (ONE YEAR TERM),"$78,046.50 ",,"""Social Sentinel was piloted in order to determine the benefit of a software that would filter publicly available social media for any threats of harm to self or others. While in theory this was a positive concept, the use of AI (artificial intelligence) left it up to a system to determine the need for intervention.  At the end of the pilot, it was determined that the best method of support for students and families was direct contact at school, teaching and modeling ‚Äúsee something, say something‚Äù and rich community resources to connect students and families to for support when not at school (i.e. tip lines, 24 hour hotlines, mental health resources). In addition, we replaced this software with an app that students utilize as a digital mood meter. The outcome of a student sharing how they are feeling triggers both supportive content by way of a 1‚Äì2-minute video on pro-social, healthy coping skills as well as triggering an alert for the counselor to check in with that student and see what level of support is needed. While Lewisville ISD has a rich and well-developed protocol for reactive situations, we also firmly believe in the benefit of teaching prevention skills as a protective factor. That drove our decision to discontinue use of the Social Sentinel software."" -Amanda Brim, Chief Communications Officer"
LIBERTY ISD,2018-2019,Social Sentinel,2227,10/29/18,SOCIAL SENTINEL CONSORTIUM AGREEMENT FEE WITH LIBERTY ISD FOR THE 2018-2019,"$3,903.50 ",,
LIBERTY ISD,2019-2020,Social Sentinel,2266,11/22/19,SOCIAL SENTINEL CONSORTIUM AGREEMENT FEE WITH LIBERTY ISD FOR THE 2019-2020,"$3,903.50 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2015-2016,Gaggle,3377,5/3/16,Gaggle Safety Management for Office 365 Email - Students. Pricing Term: 12,"$9,363 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2015-2016,Gaggle,3377,7/21/15,Gaggle Safety Management for Microsoft Office 365 Email,$205 ,,
LITTLE CYPRESS-MAURICEVILLE CISD,2016-2017,Gaggle,3355,4/24/17,Gaggle Safety Management for Office 365 Email - Students. Pricing Term: 12,"$9,450 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2017-2018,Gaggle,3153,4/2/18,Gaggle Safety Management for Office 365 Email - St. Pricing term 07/01/2018 -,"$9,450 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2018-2019,Social Sentinel,3170,10/30/18,Social Sentinel Consortium 2018 - 2019,"$5,827.50 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2018-2019,Gaggle,3170,5/6/19,Gaggle Safety Management for Office 365 - Student (Email + OneDrive).,"$14,850 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2019-2020,Gaggle,3217,3/25/20,Gaggle Safety Management for Office 365 - Student. Valid 4-1-2020 through,$282.90 ,,
LITTLE CYPRESS-MAURICEVILLE CISD,2019-2020,Gaggle,3217,5/14/20,Gaggle Safety Management for Office 365 - Student 2020-07-01 2021-06-30,"$15,977.50 ",,
LITTLE CYPRESS-MAURICEVILLE CISD,2019-2020,Social Sentinel,3217,6/5/20,Invoice # 080459 Socidal Sentinel 19-20--Prorate,"$5,644 ",,
LITTLE ELM ISD,2018-2019,Gaggle,7769,11/16/18,Students Google Monitoring,"$21,900 ",,
LITTLE ELM ISD,2018-2019,Gaggle,7769,11/16/18,Students Google Monitoring,"$3,150 ",,
LITTLE ELM ISD,2019-2020,Gaggle,8065,9/3/19,Gaggle safety google students Gaggle safety management for google students,"$21,900 ",,
LITTLE ELM ISD,2019-2020,Gaggle,8065,9/3/19,Gaggle safety management for Gaggle safety management for google drive-students,"$3,250 ",,
LITTLEFIELD ISD,2019-2020,Social Sentinel,1296,3/3/20,SOCIAL SENTINEL SOFTWARE,"$1,821.15 ",,
LIVINGSTON ISD,2018-2019,Social Sentinel,3963,10/22/18,SOCIAL SENTINEL CONSORTIUM,"$4,538.78 ",Mentions Go Guardian on Technology Department page.,
LORENA ISD,2019-2020,Securly,1752,4/7/20,SECURLY - 12 MONTHS,"$3,520 ",,
LUMBERTON ISD,2016-2017,Gaggle,3911,3/6/17,Email Archiving (Google),"$4,720 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2016-2017,Gaggle,3911,3/6/17,Red Condor SPAM Filtering,"$1,180 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2016-2017,Gaggle,3911,3/8/17,IT spam/archiving,"$5,900 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2017-2018,Gaggle,3986,2/13/18,Archiving Email - Exchange 03/01/18-02/28/19,"$4,920 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2017-2018,Gaggle,3986,2/13/18,Premium Spam Filtering Service 03/01/18-02/28/19,"$1,230 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2018-2019,Gaggle,4037,2/26/19,Archiving Email - Exchange Quote #47896,"$4,400 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2018-2019,Gaggle,4037,2/26/19,Premium Spam Filtering Service Quote #47896,"$1,100 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LUMBERTON ISD,2019-2020,Gaggle,4147,3/2/20,Data Dump,"$5,160 ",,"""We've used Gaggle it in the past but we‚'re currently undergoing several widespread computer system hardware and software changes and upgrades. Our technology department is actively working with district staff to ensure all technology tools are up and running for our students and teachers as we return to school this week. The information requested can‚'t be accessed until our systems have been updated."" - Mary Johnson, Director of Communication and Community Relations"
LYFORD CISD,2015-2016,Gaggle,1542,10/13/15,Student Email Accounts,$688 ,,
LYFORD CISD,2015-2016,Gaggle,1542,5/31/16,Gaggle Safety,"$10,863 ",,
LYFORD CISD,2016-2017,Securly,1569,4/21/17,Securly Anywhere,"$7,920 ",,
LYFORD CISD,2018-2019,Securly,1474,6/28/18,Payment#2 Securly,"$7,920 ",,
LYFORD CISD,2019-2020,Securly,1449,4/22/20,Securly Anywhere Filter,"$8,241.66 ",,
LYFORD CISD,2019-2020,Securly,1449,5/6/20,Securly Auditor Plus,"$2,762 ",,
LYTLE ISD,2019-2020,Gaggle,1786,1/6/20,G SUITE SAFETY MANAGEMNET,"$4,800 ",,
LYTLE ISD,2019-2020,Social Sentinel,1786,12/19/19,SOCIAL SENTINEL COOP,$779.37 ,,
LYTLE ISD,2019-2020,Social Sentinel,1786,12/19/19,SOCIAL SENTINEL COOP,$779.37 ,,
LYTLE ISD,2019-2020,Social Sentinel,1786,12/19/19,SOCIAL SENTINEL COOP,$779.38 ,,
LYTLE ISD,2019-2020,Social Sentinel,1786,12/19/19,SOCIAL SENTINEL COOP,$779.38 ,,
MALAKOFF ISD,2015-2016,Gaggle,1301,10/9/15,email archiving,"$13,020 ",,
MALAKOFF ISD,2015-2016,Gaggle,1301,2/22/16,Increase in license,$600 ,,
MALAKOFF ISD,2016-2017,Gaggle,1357,10/7/16,Archiving WRHSE Accts Staff,$500 ,,
MALAKOFF ISD,2016-2017,Gaggle,1357,10/7/16,Drive Archiving - Staff,$900 ,,
MALAKOFF ISD,2016-2017,Gaggle,1357,10/7/16,Drive Archiving - Stu,"$5,300 ",,
MALAKOFF ISD,2016-2017,Gaggle,1357,10/7/16,Email Archiving - Staff,"$2,400 ",,
MALAKOFF ISD,2016-2017,Gaggle,1357,10/7/16,Gaggle Safety Mgmt Stu,"$5,300 ",,
MALAKOFF ISD,2017-2018,Gaggle,1390,9/25/17,Archive Warehouse,$540 ,,
MALAKOFF ISD,2017-2018,Gaggle,1390,9/25/17,Gaggle Safety Mgmt,"$5,540 ",,
MALAKOFF ISD,2017-2018,Gaggle,1390,9/25/17,Google Archive Staff,"$2,640 ",,
MALAKOFF ISD,2017-2018,Gaggle,1390,9/25/17,Google Drive Staff,$990 ,,
MALAKOFF ISD,2017-2018,Gaggle,1390,9/25/17,Google Drive Students,"$5,540 ",,
MALAKOFF ISD,2018-2019,Gaggle,1388,10/5/18,Archived Data Backup,"$3,162 ",,
MARBLE FALLS ISD,2016-2017,Go Guardian,4283,11/28/16,GoGuardian for Teachers - Subscription license ( 1 year ) - volume - 1-499,$700 ,,
MARBLE FALLS ISD,2017-2018,Go Guardian,4232,1/25/18,1 GoGuardian for Teachers - Subscription license ( 1 year ) -,$98 ,,
MARBLE FALLS ISD,2017-2018,Go Guardian,4232,1/26/18,1 GoGuardian for Teachers - Subscription license (1 year) - volume,$588 ,,
MARBLE FALLS ISD,2018-2019,Social Sentinel,4270,9/4/18,1 YEAR SOCIAL SENTINEL COMMAND CENTER SOFTWARE SERVICES FOR 7-1-18 TO 6-30-19,"$6,300 ",,
MAYPEARL ISD,2016-2017,Gaggle,1099,6/8/17,6/1-5/31/18 EMAIL ARCHIVI,"$2,220 ",,
MAYPEARL ISD,2017-2018,Gaggle,1187,6/6/18,ARCHIVING/SAFETY MAN,"$8,938 ",,
MAYPEARL ISD,2017-2018,Go Guardian,1187,8/3/17,GO GUARDIAN,"$3,824.60 ",,
MAYPEARL ISD,2017-2018,Go Guardian,1187,8/3/17,GO GUARDIAN,$817.40 ,,
MAYPEARL ISD,2019-2020,Gaggle,1137,10/10/19,Archiving Email & Safety sca,"$7,690 ",,
MAYPEARL ISD,2019-2020,Gaggle,1137,10/10/19,FUEL CROSS COUNTRY,$25 ,,
MELISSA ISD,2019-2020,Go Guardian,3580,10/1/19,Licensing,$225 ,,
MEYERPARK ELEMENTARY,2019-2020,Securly,265,1/15/20,https://support.securly.com/hc/en-us/articles/204856588-How-to-disable-Guest-Mode-for-Chromebooks-,"$7,500 ",,
MIDLAND ISD,2018-2019,Go Guardian,26183,3/27/19,Go Guardian for teachers to monitor and guide student activities on computers. - Provide technology to supplement the curriculum to assist in increasing student academic achievement.,"$5,355 ",,"""Midland ISD is in the process of implementing this technology as part of our one-to-one technology initiative. The linked acceptable use agreement governs district policy regarding use of district devices and network."" - Elana Ladd, Chief Communications Officer"
MIDLAND ISD,2019-2020,Go Guardian,26432,12/13/19,Go Guardian License,"$2,685.20 ",,"""Midland ISD is in the process of implementing this technology as part of our one-to-one technology initiative. The linked acceptable use agreement governs district policy regarding use of district devices and network."" - Elana Ladd, Chief Communications Officer"
MINEOLA ISD,2019-2020,Gaggle,1646,5/26/20,SAFETY SOFTWARE,"$10,650 ",,
MINERAL WELLS ISD,2018-2019,Social Sentinel,3281,8/20/18,Social Media Monitoring system for Mineral Wells ISD Invoice #763 Social,"$4,815 ",,"""Social Sentinel identifies signals of potential harm found on public social media posts. Social Sentinel does not access private conversations‚Äîit looks at public social media posts for words that might indicate a potential threats against schools or students. We receive an astonishingly low number of alerts from Social Sentinel each year, and no student has ever been disciplined based on a Social Sentinel alert.

Our parents and students are informed via our user agreement that there is no expectation of privacy when using the ISD-owned email address we provide to their students as a service and that if their student wants to have private conversations via email, they should use other services that are not the property of the ISD."" ""The use of a service like Social Sentinel was one of several recommendations from a task force that included parent representatives, school officials, and public safety officials, which was established in the aftermath of a school shooting in Texas with the purpose of to identifying ways to keep our students safer."" - John Kuhn, Superintendent"
NYOS CHARTER SCHOOL,2019-2020,Securly,1061,9/16/19,Securly Anywhere Filter,"$6,171 ",,
NAVARRO ISD,2019-2020,Go Guardian,1944,6/20/19,GO GUARDIAN,"$11,711.70 ",,
NEDERLAND ISD,2015-2016,Gaggle,5203,1/11/16,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2016 - FEB. 28, 2017,","$5,200 ",,
NEDERLAND ISD,2015-2016,Gaggle,5203,1/11/16,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2016 - FEB. 28, 2017,",$60 ,,
NEDERLAND ISD,2016-2017,Gaggle,5254,1/12/17,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2017 - FEB. 28, 2018,","$5,800 ",,
NEDERLAND ISD,2016-2017,Gaggle,5254,1/12/17,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2017 - FEB. 28, 2018,",$300 ,,
NEDERLAND ISD,2017-2018,Gaggle,5388,1/30/18,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2018 - FEB. 28, 2019,","$6,080 ",,
NEDERLAND ISD,2017-2018,Gaggle,5388,1/30/18,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2018 - FEB. 28, 2019,",$480 ,,
NEDERLAND ISD,2017-2018,Gaggle,5388,9/21/17,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH, SEPT. 2018-2019","$17,188 ",,
NEDERLAND ISD,2018-2019,Gaggle,5207,1/28/19,"EMAIL ARCHIVE SERVICE, 12 MONTH, MARCH 1, 2019 - FEB. 29,","$6,320 ",,
NEDERLAND ISD,2018-2019,Gaggle,5207,1/28/19,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, 12 MONTH, MARCH 1, 2019 - FEB. 29,",$300 ,,
NEDERLAND ISD,2018-2019,Gaggle,5207,9/17/18,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH, SEPT.","$17,463 ",,
NEDERLAND ISD,2019-2020,Gaggle,5222,2/10/20,"EMAIL ARCHIVE SERVICE, PRO-RATE BILL, MARCH 2020 - SEPT. 2020,","$3,260 ",,
NEDERLAND ISD,2019-2020,Gaggle,5222,2/10/20,"EMAIL ARCHIVE WAREHOUSE ACCOUNTS, PRO-RATE BILL, MARCH 2020 - SEPT. 2020,",$320 ,,
NEDERLAND ISD,2019-2020,Gaggle,5222,9/3/19,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE, 12 MONTH RENEWAL, SEPT. 2019-2020","$20,900 ",,
NEWTON ISD,2015-2016,Gaggle,1021,11/5/15,PO Created by Req: 037375,$344 ,,
NEWTON ISD,2015-2016,Gaggle,1021,9/21/15,PO Created by Req: 036814,"$2,491 ",,
NEWTON ISD,2017-2018,Gaggle,1026,1/23/18,extragagggle email students,$195 ,,
NEWTON ISD,2017-2018,Gaggle,1026,9/22/17,2017-18 request,"$2,340 ",,
NORTH LAMAR ISD,2015-2016,Gaggle,2715,10/21/15,View Purchase,"$6,125 ",,
NORTH LAMAR ISD,2018-2019,Gaggle,2456,10/17/18,Monitor student's work,"$8,250 ",,
NORTHWEST ISD,2017-2018,Go Guardian,23141,9/7/17,#4159244 - GO GUARDIAN FOR TEACHERS COMPUTER SOFTWARE,$643 ,,"""Northwest ISD uses GoGuardian for web filtering to protect students from accessing inappropriate websites or materials, in compliance with the federal Children‚'s Internet Protection Act.

This technology is enabled on all district-owned Chromebooks to ensure a safe online environment exists in the educational setting. As with all technology-related usage in a district setting, its implementation is governed by the Responsible Use Policy. 

For the past six years, Northwest ISD has earned Common Sense District designation for its commitment to digital citizenship and the safety of students online and when using technology."" -Anthony Tosie, Executive Director of Communications"
NORTHWEST ISD,2018-2019,Go Guardian,24141,10/2/18,#4159259 - GO GUARDIAN FOR TEACHERS LICENSE,"$1,741 ",,
ODEM-EDROY ISD,2018-2019,Go Guardian,905,3/19/19,Go Guardian Sub Renewal,"$3,300 ",,
PAMPA ISD,2015-2016,Gaggle,3674,10/7/15,ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE TERM: 11/1/15 - 10/31/16,"$1,760 ",,
PAMPA ISD,2015-2016,Gaggle,3674,10/7/15,EMAIL ARCHIVING (EXCHANGE) TERM: 11/1/15 - 10/31/16 DISTRICT,"$5,600 ",,
PAMPA ISD,2015-2016,Gaggle,3674,7/6/15,GAGGLE LEARNING MANAGEMENT SYSTEM 12 MONTH ANNUAL ITEM # 1500 QUOTE # 611158 DISTRICT,"$10,448 ",,
PAMPA ISD,2016-2017,Gaggle,3642,10/21/16,ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE) 11/1/2016 - 10/31/2017,"$2,080 ",,
PAMPA ISD,2016-2017,Gaggle,3642,10/21/16,EMAIL ARCHIVING (EXCHANGE) 11/1/2016 - 10/31/2017,"$5,600 ",,
PAMPA ISD,2016-2017,Gaggle,3642,7/11/16,GAGGLE LEARNING MANAGEMENT SYSTEM ITEM # 1500 7/1/2016 - 6/30/2017 INVOICE # 32460 DISTRICT,"$10,270 ",,
PAMPA ISD,2017-2018,Gaggle,3579,6/26/17,"GAGGLE PLATFORM - STUDENT LICENSING SERVICE: 7/1/2017 - 6/30/2018 INVOICE # 33889 COMPUTER SOFTWARE < $5,000","$10,981 ",,
PAMPA ISD,2017-2018,Gaggle,3579,9/28/17,"ARCHIVING WAREHOUSE ACCOUNTS - DORMANT LICENSES (EXCHANGE) - CONTRACTED/OUTSOURCED SERVICES, ALL OTHERS NOV. 1, 2017 - OCT. 31, 2018","$2,380 ",,
PAMPA ISD,2017-2018,Gaggle,3579,9/28/17,"EMAIL ARCHIVING (EXCHANGE) - CONTRACTED/OUTSOURCED SERVICES, ALL OTHERS NOV. 1, 2017 - OCT. 31, 2018","$5,850 ",,
PAMPA ISD,2018-2019,Gaggle,3541,10/22/18,"ARCHIVING EMAIL - EXCHANGE - SOFTWARE LICENSE/MAINTENANCE > $5,000 START 11/01/2018 END 10/31/2019 ITEM # 8007","$7,050 ",,
PAMPA ISD,2018-2019,Gaggle,3541,10/22/18,"ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) SOFTWARE LICENSE/MAINTENANCE < $5,000 START 11/01/2018 END 10/31/2019 ITEM # 8301","$2,480 ",,
PAMPA ISD,2018-2019,Gaggle,3541,7/17/18,"GAGGLE SAFETY MANAGEMENT FOR GOOGLE DRIVE - SOFTWARE LICENSE/MAINTENANCE < $5,000 SERV: 07/01/2018 - 06/30/2019 ITEM # 1804-S - INVOICE # 35913","$3,450 ",,
PAMPA ISD,2019-2020,Gaggle,3558,11/5/19,#1804-S GAGGLE SAFETY MANAGEMENT FOR GOOGLE DRIVE - STUDENTS SOFTWARE MAINTENANCE AND SUPPORT: MONITORING SOFTWARE,"$5,625 ",,
PAMPA ISD,2019-2020,Gaggle,3558,11/5/19,#8007 ARCHIVING EMAIL -EXCHANGE SOFTWARE MAINTENANCE AND SUPPORT (NOT OTHERWISE CLASSIFIED),"$6,700 ",,
PAMPA ISD,2019-2020,Gaggle,3558,11/5/19,#8302-T ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) STAFF SOFTWARE MAINTENANCE AND SUPPORT (NOT OTHERWISE CLASSIFIED),"$3,180 ",,
PARADISE ISD,2015-2016,Gaggle,1138,8/24/15,Gaggle Email Accounts,$956 ,,"""PISD does not use Gaggle and we do not monitor student or staff social media accounts."" ""Our records indicate that the District had a contract for the 2014-15 school year.  We do not have a record of a contract after that school year.  I am not trying to be evasive as I came to the District in 2018, so I have to rely on looking at records."" - Paul Uttley"
PEARLAND ISD,2018-2019,Social Sentinel,21606,8/27/18,SOCIAL SENTINEL ANNUAL SERVICE ANNL-DATA-NE ANNUAL DATA FEE ANNUAL PERIOD 1 - 8/15/18 to 8/14/19,"$4,620 ",,
PEARLAND ISD,2018-2019,Social Sentinel,21606,8/27/18,SOCIAL SENTINEL ANNUAL SERVICE ANNL-SVC-NE ANNUAL SERVICE FEE PERIOD 1 - 8/15/18 to 8/14/19,"$30,030 ",,
PEARLAND ISD,2019-2020,Social Sentinel,21760,1/28/20,SOCIAL SENTINEL ANNUAL SERVICE ANNL-SVC-NE ANNUAL SERVICE FEE PERIOD 1 - 8/15/2019 To 8/14/2020,"$15,500 ",,
